Network_id,Network Name,City,Country,Location_Latitude,Location_Longitude
avelo-quebec,àVélo,Québec,CA,46.81305,-71.2168
aventura,Aventura BCycle,"Aventura, FL",US,25.95711,-80.1395
aviles-en-bici,Avilés en Bici,Avilés,ES,43.5554,-5.9222
aw-bike,AW-bike Ahrweiler,Ahrweiler,DE,50.5452,7.1212
baksi-antalya,Baksi,Antalya,TR,36.862048,30.638866
baksi-cabis,Çabis,Çanakkale,TR,40.1531,26.4146
baksi-nilesplit,Nilesplit,Nilüfer,TR,40.2127,28.9627
batumvelo,Batumvelo,Batumi,GE,41.660906,41.678835
bay-wheels,Bay Wheels,"San Francisco Bay Area, CA",US,37.7141454,-122.25
bealler,Pedaleando por Aller (BeALLER),Aller,ES,43.1482,-5.6295
belfastbikes-belfast,BelfastBikes,Belfast,GB,54.5969,-5.92918
bentonville,Bentonville BCycle,"Bentonville, AR",US,36.3605,-94.1996
bergen-bysykkel,Bysykkel,Bergen,NO,60.391263,5.322054
bergisches-e-bike,Bergisches e-Bike,Bergisches e-Bike,DE,51.0192,7.18025
beryl-bcp,"Beryl - Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole",GB,50.7196,-1.8734
beryl-brighton,Beryl - Brighton,Brighton,GB,50.8222,-0.1403
beryl-cornwall,Beryl - Cornwall,Cornwall,GB,50.2616,-5.051
beryl-dorchester-weymouth-portland,"Beryl - Dorchester, Weymouth and Portland","Dorchester, Weymouth and Portland",GB,50.6085,-2.454
beryl-eastleigh,Beryl - Eastleigh,Eastleigh,GB,50.9691,-1.3603
beryl-greater-manchester,Beryl - Greater Manchester,Greater Manchester,GB,53.4795,-2.2436
beryl-guildford,Beryl - Guildford,Guildford,GB,51.2397,-0.5764
beryl-hereford,Beryl - Hereford,Hereford,GB,52.0549,-2.7156
beryl-hertsmere,Beryl - Hertsmere,Hertsmere,GB,51.6577,-0.2695
beryl-leeds,Beryl - Leeds,Leeds,GB,53.7971,-1.5438
beryl-norwich,Beryl - Norwich,Norwich,GB,52.6288,1.2934
beryl-plymouth,Beryl - Plymouth,Plymouth,GB,50.3714,-4.1421
beryl-stevenage,Beryl - Stevenage,Stevenage,GB,51.9059,-0.1905
beryl-watford,Beryl - Watford,Watford,GB,51.6556,-0.3953
beryl-west-midlands,Beryl - West Midlands,West Midlands,GB,52.4798,-1.9014
beryl-worcester,Beryl - Worcester,Worcester,GB,52.1912,-2.2206
bia,BIA,Ovar,PT,40.8599,-8.6246
bianzone-in-bici,Bianzone in Bici,Bianzone,IT,46.188197,10.109354
biba,BiBa,Badajoz,ES,38.878,-6.9701
bibo,BIBO,Boadilla del Monte,ES,40.4125,-3.8909
bici-bolzano,Bici Bolzano,Bolzano,IT,46.49,11.3401
bici-co,BICI&CO,Como,IT,45.8080597,9.0851765
bici-ferrol-terra,BiciFerrolTerra,Ferrol - Narón,ES,43.4896,-8.2193
bici-in-busto,Bici in Busto,Busto Arsizio,IT,45.610555,8.852062
bici-perugia,Bici Perugia,Perugia,IT,43.1107168,12.3908279
bicialcazar,BiciAlcázar,Alcázar de San Juan,ES,39.3901,-3.2101
biciarousa,BiciArousa,A Illa de Arousa,ES,42.5521,-8.8666
biciarteixo,biciArteixo,Arteixo,ES,43.3053,-8.5069
bicibur,BiciBur,Burgos,ES,42.34392,-3.69697
bicicas,Bicicas,Castelló de la Plana,ES,39.9856,-0.0389
bicicletar,Bicicletar,Fortaleza,BR,-3.7321944,-38.510347
bicicorunha,Bicicoruña,A Coruña,ES,43.3623,-8.4115
bicicuenca,Bici Pública Cuenca,Cuenca,EC,-2.897,-79.0038
bicielx,Bicielx,Elx,ES,38.2665,-0.7
bicikelj,Bicikelj,Ljubljana,SI,46.05645089999999,14.5080702
bicilog,BiciLog,Logroño,ES,42.4658,-2.4402
bicimad,BiciMAD,Madrid,ES,40.4168,-3.7038
bicimia,bicimia,Brescia,IT,45.5378,10.2173
bicimislata,BiciMislata,Mislata,ES,39.4763,-0.4182
bicincitta-acquarica-del-capo,Bicincittà,Acquarica del Capo,IT,39.9144573,18.2450324
bicincitta-acquaviva-delle-fonti,Bicincittà,Acquaviva delle fonti,IT,40.9303721,16.8414374
bicincitta-alghero,Bicincittà,Alghero,IT,40.5579517,8.319294900000001
bicincitta-assemini,Bicincittà,Assemini,IT,39.28956306007679,9.006601555294765
bicincitta-borgarello,Bicincittà,Borgarello,IT,45.23963753440171,9.136150475640875
bicincitta-brancaleone,Bicincittà,Brancaleone,IT,37.9679084,16.0757749
bicincitta-carrara,Bicincittà,Carrara,IT,44.07731805550891,10.097172450401331
bicincitta-casaletto-spartano,Bicincittà,Casaletto Spartano,IT,40.1532801,15.6211479
bicincitta-castel-guelfo-the-style-outlets,Bicincittà,Castel Guelfo di Bologna,IT,44.4328527,11.6750857
bicincitta-cesena,Mi Muovo in bici,Cesena,IT,44.1396438,12.2464292
bicincitta-cisterna-di-latina,Bicincittà,Cisterna di Latina,IT,41.5754029,12.8284772
bicincitta-costa-blu,Costa Blu,Montesilvano,IT,42.5009,14.1282
bicincitta-elmas,Bicincittà,Elmas,IT,39.2634329,9.0515805
bicincitta-ente-parco-del-circeo,Bicincittà,Parco Nazionale del Circeo,IT,41.3151015,13.0330782
bicincitta-ente-parco-di-montemarcello-magra,Bicincittà,Ente Parco Montemarcello Magra,IT,44.1143897,9.9635986
bicincitta-ente-parco-san-rossore,Bicincittà,Parco naturale Migliarino San Rossore Massaciuccoli,IT,43.723826,10.339509
bicincitta-forli,Mi Muovo in Bici,Forlì,IT,44.2227398,12.0407312
bicincitta-gaeta,Bicincittà,Gaeta,IT,41.209620965538036,13.584335125656139
bicincitta-gallipoli,Bicincittà,Gallipoli,IT,40.0558554,17.9925085
bicincitta-imola,Mi Muovo in bici,Imola,IT,44.3559128,11.7161197
bicincitta-lavis,Bicincittà,Lavis,IT,46.1408423,11.1124935
bicincitta-livorno,Bicincittà,Livorno,IT,43.548473,10.3105674
bicincitta-mantova,Bicincittà,Mantova,IT,45.15866370764634,10.783718973016335
bicincitta-massa,Bici in Massa,Massa,IT,44.0146,10.1017
bicincitta-mezzocorona,Bicincittà,Mezzocorona,IT,46.2339047,11.1277461
bicincitta-mezzolombardo,Bicincittà,Mezzolombardo,IT,46.21400260000001,11.0967867
bicincitta-modena,Mi Muovo in bici,Modena,IT,44.647128,10.9252269
bicincitta-monserrato,Bicincittà,Monserrato,IT,39.2560191,9.1453579
bicincitta-montecatini-terme,Bicincittà,Montecatini Terme,IT,43.88362791665083,10.764385656591799
bicincitta-monteriggioni,Sipedala,Monteriggioni,IT,43.3896,11.2236
bicincitta-monza,Bicincittà,Monza,IT,45.5845001,9.2744485
bicincitta-morigerati,Bicincittà,Morigerati,IT,40.1422031,15.5298525
bicincitta-parco-dei-colli-di-bergamo,Bicincittà,Parco dei Colli di Bergamo,IT,45.72295637032245,9.649230073016383
bicincitta-parco-molentargius-saline,Bicincittà,Parco Naturale Molentargius - Saline,IT,39.2052545,9.146761099999999
bicincitta-pista,PisTA!,Taranto,IT,40.4351,17.2096
bicincitta-pizzighettone-formigara,Bicincittà,Pizzighettone e Formigara,IT,45.186748819167434,9.778087948479424
bicincitta-porto-torres,Bicincittà,Porto Torres,IT,40.8333682,8.402292899999999
bicincitta-rivarolo-canavese,Bicincittà,Rivarolo Canavese,IT,45.306633,7.723242
bicincitta-san-donato-milanese,Bicincittà,San Donato Milanese,IT,45.4092402,9.2684867
bicincitta-san-giovanni-in-persiceto,Mi Muovo in Bici,San Giovanni in Persiceto,IT,44.6405433,11.1893053
bicincitta-san-lazzaro-di-savena,Mi Muovo in Bici,San Lazzaro di Savena,IT,44.4702725,11.409399
bicincitta-san-michele-alladige,Bicincittà,San Michele All'adige,IT,46.1878653,11.1330423
bicincitta-san-teodoro,Bicincittà,San Teodoro,IT,40.7722837,9.6695458
bicincitta-scafati,Bicincittà,Scafati,IT,40.7620174,14.5363969
bicincitta-scandiano,Mi Muovo in Bici,Scandiano,IT,44.5982342,10.6909273
bicincitta-selargius,Bicincittà,Selargius,IT,39.2596768,9.1629372
bicincitta-siena,Bicincittà,Siena,IT,43.3186,11.3306
bicincitta-tivat,Bicincittà,TV,ME,42.4349809,18.7066398
bicincitta-tortoli,Bicincittà,Tortolì,IT,39.92664489852196,9.654953570777934
bicincitta-treviglio,Bicincittà,Treviglio,IT,45.5293372,9.591435899999999
bicincitta-trieste,BiTS,Trieste,IT,45.6495,13.7768
bicincitta-vicolungo-the-style-outlets,Bicincittà,Vicolungo,IT,45.47167229999999,8.4633922
bicing,Bicing,Barcelona,ES,41.3850639,2.1734035
bicinquartucciu,BicinQuartucciu,Quartucciu,IT,39.25043149806156,9.179296426489255
bicinrivas,BiciNRivas,Rivas-Vaciamadrid,ES,40.35353,-3.53095
bicipalma,Bicipalma,Palma,ES,39.57119,2.646634
bicisanvi,Bicisanvi,Sant Vicent del Raspeig,ES,38.39611,-0.5236
bicischio,BiciSchio,Schio,IT,45.7170517,11.3597702
biclis,biclis,Leiria,PT,39.7495,-8.8074
bicloo,Bicloo,Nantes,FR,47.218371,-1.553621
bicyklezadobreskutky,Bicykle za dobré skutky,Prešov,SK,48.996275,21.234341
biella,Biella,Biella,IT,45.5775,8.051111
bigi,BiGi,Bergamo,IT,45.695,9.67
bike-chattanooga,Bike Chattanooga,"Chattanooga, TN",US,35.0456297,-85.3096801
bike-curitiba,BikeCuritiba,Curitiba,BR,-25.4299,-49.2722
bike-itau-nordelta,Bike Itaú Nordelta,Nordelta,AR,-34.4146,-58.6493
bikebrasilia,BikeBrasilia,Brasília,BR,-15.795115,-47.887424
bikekia-zilina,BikeKia,Žilina,SK,49.2217,18.7572
bikemi,BikeMi,Milano,IT,45.4654542,9.186516
bikenmedio,BikEnmedio,Campoo de Enmedio,ES,42.9995,-4.1393
bikepoa,BikePOA,Porto Alegre,BR,-30.033079,-51.23654
bikerecife,BikeRecife,Recife,BR,-8.047129,-34.873437
bikerio,BikeRio,Rio de Janeiro,BR,-22.904315,-43.184776
bikesalvador,BikeSalvador,Salvador,BR,-12.973959,-38.508171
bikesampa,BikeSampa,São Paulo,BR,-23.55,-46.6333
bikesantiago,BikeSantiago,Santiago,CL,-33.45,-70.67
bikesantos,BikeSantos,Santos,BR,-23.954052,-46.333345
bikeshare-peninsula-papagayo,Peninsula Papagayo Bike-Share,Península de Papagayo,CR,10.6246,-85.6796
biketown,BIKETOWN,"Portland, OR",US,45.52175423291714,-122.68107935786247
biketown-whq,Biketown WHQ (Nike campus),"Beaverton, OR",US,45.5087,-122.8294
bikeu-bra,Bydgoski rower aglomeracyjny,Bydgoszcz,PL,53.12193,18.00038
bikeverona,Verona Bike,Verona,IT,45.438611,10.992778
bikevitoria,Bike Vitória,Vitória,BR,-20.3202,-40.3375
biki,BIKI,Valladolid,ES,41.6522,-4.7243
bilbon-bizi,BilbonBizi,Bilbao,ES,43.2752,-2.93528
bismarck,BisPArks BCycle,"Bismarck, ND",US,46.8082,-100.7847
bixi-montreal,Bixi,"Montréal, QC",CA,45.508693,-73.553928
bixi-toronto,Bike Share Toronto,"Toronto, ON",CA,43.653226,-79.3831843
bizi,Bizi,Zaragoza,ES,41.6487908,-0.8895811
bizkaibizi-barakaldo,Bizkaibizi,Barakaldo,ES,43.2966,-2.987
bizkaibizi-berango,Bizkaibizi,Berango,ES,43.3619,-2.9968
bizkaibizi-bilbao,Bizkaibizi,Bilbao,ES,43.2617,-2.9491
bizkaibizi-erandio,Bizkaibizi,Erandio,ES,43.3029,-2.9756
bizkaibizi-getxo,Bizkaibizi,getxo,ES,43.3476,-3.0088
bizkaibizi-leioa,Bizkaibizi,Leioa,ES,43.3266,-2.9897
bizkaibizi-portugalete,Bizkaibizi,Portugalete,ES,43.318,-3.0214
bizkaibizi-santurtzi,Bizkaibizi,Santurtzi,ES,43.328,-3.0335
bizkaibizi-sestao,Bizkaibizi,Sestao,ES,43.3093,-3.0068
bl-bike-banja-luka,BL bike,Banja Luka,BA,44.775,17.1994
blue-bikes,Blue Bikes,"Boston, MA",US,42.3584308,-71.0597732
bora,Bora!,CIM Viseu Dão-Lafões,PT,40.656392,-7.912545
boulder,Boulder BCycle,"Boulder, CO",US,40.00811,-105.26385
brindisi,BrindisiByBike,Brindisi,IT,40.637580319936106,17.940774547082572
broward,Broward BCycle,"Fort Lauderdale, FL",US,26.12026,-80.14819
bubi,MOL Bubi,Budapest,HU,47.497912,19.040235
bublr-bikes,Bublr Bikes,"Milwaukee, WI",US,43.0369,-87.89667
buga,BUGA,Aveiro,PT,40.6388,-8.6479
burgenland-neusiedler-see,Burgenland,Neusiedler See,AT,47.839,16.761
bysykkel-lillestrom,Bysykkel,Lillestrøm,NO,59.9559696,11.0503785
c-velo,C.vélo,Clermont-Ferrand,FR,45.7831,3.0824
cagliari,Cagliari,Cagliari,IT,39.220817,9.121399
callabike-berlin,Call-A-Bike,Berlin,DE,52.5179,13.3895
callabike-darmstadt,Call-A-Bike,Darmstadt,DE,49.8707135,8.6527299
callabike-frankfurt,Call-A-Bike,Frankfurt,DE,50.1109,8.6795
callabike-koln,Call-A-Bike,Köln,DE,50.939,6.9595
callabike-munchen,Call-A-Bike,München,DE,48.1375,11.5759
capital-bikeshare,Capital BikeShare,"Washington, DC",US,38.8967584,-77.03701629999999
capmetro-austin,CapMetro Bikeshare,"Austin, TX",US,30.26408,-97.74355
carbonia,Carbonia,Carbonia,IT,39.167222,8.522222
carvelo,carvelo eCargo-Bike Sharing,Switzerland,CH,46.9829,8.2331
cascavel,Cascavel Vai de Bici,Cascavel,BR,-24.9558,-53.4566
cassano-d-adda,Cassano d'Adda,Cassano d'Adda,IT,45.5309616,9.5155813
castellucchio,Castellucchio,Castellucchio,IT,45.15047821582959,10.651202201843262
chantrerie-captainbike,Chantrerie VLS (Captain Bike),"La Chantrerie, Nantes",FR,47.2868203,-1.5210917
charlotte,Charlotte Joyrides,"Charlotte, NC",US,35.22716,-80.83855
chartered-bike-bhopal,Chartered Bike,Bhopal,IN,23.258546,77.401851
chartered-bike-bilaspur,Chartered Bike,Bilaspur,IN,22.07834,82.14768
chartered-bike-moradabad,Chartered Bike,Moradabad,IN,28.83263,78.77346
chartered-bike-prayagraj,Chartered Bike,Prayagraj,IN,25.43802,81.83383
chartered-bike-rajarhat-new-town,Chartered Bike,Rajarhat New Town,IN,22.58797,88.4731
chartered-bike-ranchi,Chartered Bike,Ranchi,IN,23.37005,85.325004
chartered-bike-srinagar,Chartered Bike,Srinagar,IN,34.07471,74.82044
chartered-bike-surat,Chartered Bike,Surat,IN,21.18626,72.80798
chivasso,Chivasso,Chivasso,IT,45.189765,7.888935
choletbus,Choletbus 2 roues,Cholet,FR,47.06,-0.8783
ciclopi,Ciclopi,Pisa,IT,43.7228386,10.4016888
cincy-red-bike,Cincy Red Bike,"Cincinnati, OH",US,39.10138,-84.51217
citi-bike-miami,Citi Bike Miami,"Miami, FL",US,25.790654,-80.1300455
citi-bike-nyc,Citi Bike,"New York, NY",US,40.7143528,-74.00597309999999
citybike-lima,CityBike Lima,Lima,PE,-12.1209,-77.0296
citybikelinz,city bike Linz,Linz,AT,48.3003,14.2843
citybikes-helsinki,City bikes,Helsinki,FI,60.16985569999999,24.938379
civitavecchia,Civitavecchia,Civitavecchia,IT,42.0937524,11.7922462
clemson,Clemson University Bike Share,"Clemson, SC",US,34.67847,-82.8351
clujbike,Cluj Bike,Cluj-Napoca,RO,46.775,23.5975
co-bikes-exeter,Co-bikes,Exeter,GB,50.7272,-3.53605
cogo,CoGo,"Columbus, OH",US,39.983333,-82.983333
cork,TFI Bikes,Cork,IE,51.893604,-8.494174
cuneo,Cuneo,Cuneo,IT,44.384238,7.541428
cyclam,Cycl’AM,Ardenne Métropole,FR,49.7719,4.7161
cyclolibre,CYCLOlibre,Carcassonne,FR,43.2127,2.3492
cyclopolis-aua,Γεωπονικό Πανεπιστήμιο Αθηνών (Agricultural University of Athens),Athens,GR,37.9846,23.7056
cyclopolis-chania,Cyclopolis,Chania,GR,35.5148425,24.0177549
cyclopolis-edessa,Cyclopolis,Edessa,GR,40.8033168,22.0436732
cyclopolis-igoumenitsa,Cyclopolis,Igoumenitsa,GR,39.5031199,20.2639271
cyclopolis-loutraki,Cyclopolis,Loutraki,GR,37.9782137,22.9767486
cyclopolis-poros,Cyclopolis,Poros,GR,37.4995,23.4546
cyclovis,Cyclovis,Soissons,FR,49.3817,3.3236
cykl,Cykl,Wageningen,NL,51.974,5.6671
dbizi,Dbizi,Donostia/San Sebastián,ES,43.3186,-1.9836
dcs-bike,DCS Bike,Mannheim,DE,49.5346,8.47004
denver,Lyft,"Denver, CO",US,39.72055,-104.95253
desmoines,Des Moines BCycle,"Des Moines, IA",US,41.6005448,-93.6091064
divia-velodi,DiviaVélodi,Dijon,FR,47.3215806,5.0414701
divvy,Divvy,"Chicago, IL",US,41.8781136,-87.6297982
docomo-cycle-aichi,Docomo Bike Share Aichi,愛知県 (Aichi),JP,35.1835,136.904
docomo-cycle-fukui,Docomo Bike Share Fukui,福井県 (Fukui),JP,36.0665,136.2138
docomo-cycle-gifu,Docomo Bike Share Gifu,岐阜県 (Gifu),JP,35.4512,137.02627
docomo-cycle-hiroshima,Docomo Bike Share Hiroshima,広島県 (Hiroshima),JP,34.3904,132.4527
docomo-cycle-hyogo,Docomo Bike Share Hyōgo,兵庫県 (Hyōgo),JP,34.8147,134.689
docomo-cycle-ibaraki,Docomo Bike Share Ibaraki,茨城県 (Ibaraki),JP,36.3732,140.2549
docomo-cycle-ishikawa,Docomo Bike Share Ishikawa,石川県 (Ishikawa),JP,36.5594,136.658
docomo-cycle-kagoshima,Docomo Bike Share Kagoshima,鹿児島県 (Kagoshima),JP,31.588,130.5547
docomo-cycle-kanagawa,Docomo Bike Share Kanagawa,神奈川県 (Kanagawa),JP,35.4504,139.625
docomo-cycle-kyoto,Docomo Bike Share Kyoto,京都府 (Kyoto),JP,35.0001,135.7587
docomo-cycle-miyagi,Docomo Bike Share Miyagi,茨城県 (Miyagi),JP,38.2607,140.8814
docomo-cycle-nara,Docomo Bike Share Nara,奈良県 (Nara),JP,34.6839,135.8087
docomo-cycle-niigata,Docomo Bike Share Niigata,新潟県 (Niigata),JP,37.9186,139.0488
docomo-cycle-oita,Docomo Bike Share Ōita,大分県 (Ōita),JP,33.2393,131.6124
docomo-cycle-okayama,Docomo Bike Share Okayama,岡山県 (Okayama),JP,34.603,133.765
docomo-cycle-okinawa,Docomo Bike Share Okinawa,沖縄県 (Okinawa),JP,26.2097,127.6841
docomo-cycle-osaka,Docomo Bike Share Osaka,大阪府 (Osaka),JP,34.693,135.5028
docomo-cycle-shiga,Docomo Bike Share Shiga,滋賀県 (Shiga),JP,35.0378,135.9801
docomo-cycle-tokyo,Docomo Bike Share Tokyo,Tokyo,JP,35.6827,139.766
docomo-cycle-yamanashi,Docomo Bike Share Yamanashi,山梨県 (Yamanashi),JP,35.6848,138.733
donkey-gh,Donkey Republic - Gent,Gent,BE,51.05,3.7303
dott-ibiza,Dott Ibiza,Ibiza,ES,38.91,1.4334
dott-murcia,Dott,Murcia,ES,37.9872,-1.1287
dott-tarragona,Dott Tarragona,Tarragona,ES,41.1178,1.2553
dubai-careem-bike,Dubai Careem BIKE,Dubai,AE,25.1713,55.2324
dublinbikes,dublinbikes,Dublin,IE,53.3498053,-6.2603097
e-motion-rovereto,e.motion,Rovereto,IT,45.88710661061543,11.042242751867644
e-motion-trento,e.motion,Trento,IT,46.06643205823519,11.122145390351879
easybike-didymoteicho,EasyBike,Didymoteicho,GR,41.3502539849,26.4972960949
easybike-glyfada,EasyBike,Glyfada,GR,37.8715809825,23.7355544376
easybike-igoumenitsa,EasyBike,Igoumenitsa,GR,39.5005770633,20.2635206985
easybike-ioannina,EasyBike,Ioannina,GR,39.6639818,20.8522784
easybike-irakleio,EasyBike,Irakleio,GR,35.338735,25.144213
easybike-karditsa,EasyBike,Karditsa,GR,39.3634604,21.9211192
easybike-kinouria,EasyBike,Kinouria,GR,37.1476704305,22.8933729935
easybike-komotini,EasyBike,Komotini,GR,41.117833,25.4041307
easybike-mani,EasyBike,Mani,GR,41.4097472,26.4024952
easybike-patra,EasyBike,Patra,GR,38.2410966371,21.7259683418
easybike-rethymno,EasyBike,Rethymno,GR,35.3667571777,24.4832845736
easybike-samos,EasyBike,Samos,GR,37.754065919,26.9787850189
ecobici,EcoBici,Cd de México,MX,19.4326077,-99.133208
ecobici-buenos-aires,Ecobici,Buenos Aires,AR,-34.630665,-58.41156
edeka-gruenheide-mark,EDEKA Grünheide,Grünheide (Mark),DE,52.4247,13.8203
eifel,Eifel e-Bike,Eifel e-Bike,DE,50.5771,6.64673
elpaso,El Paso BCycle,"El Paso, TX",US,31.76148,-106.48507
emobi-osijek,eMobi (Croatia),Osijek,HR,45.554,18.6943
encicla,EnCicla,Medellin,CO,6.2443,-75.5735
enna,Enna,Enna,IT,37.56342572664775,14.27973747253418
eoulling-sejong,어울링 (Eoulling),세종 (Sejong),KR,36.4901,127.2829
famose,Fa.Mo.Se,Senigallia,IT,43.7603,13.1139
figas,Figas,Figueira da Foz,PT,40.1548,-8.8613
foli,Fölläri bikes,Turku,FI,60.4506,22.2666
fortworth,Trinity Metro Bikes,"Fort Worth, TX",US,32.7516,-97.32888
free-bike-sharing,FRee Bike sharing,Frosinone,IT,41.645081,13.342123
frelo-freiburg,Frelo,Freiburg,DE,47.9958,7.84453
galway,TFI Bikes,Galway,IE,53.2783491544,-9.05069143207
ganxeta-reus,Ganxeta,Reus,ES,41.1589,1.10623
gbici,Gbici,Getafe,ES,40.308,-3.7301
gijon,Gijón Bici,Gijón,ES,43.5396116,-5.6663604
gimme-bike,Gimme Bike,Varese,IT,45.8183902,8.823913
gira,Gira,Lisbon,PT,38.724954,-9.149334
girocleta,Girocleta,Girona,ES,41.9794005,2.8214264
gobiki,Biki,Honolulu,US,21.3043,-157.856
goodbike,GoodBike,Padova,IT,45.4064349,11.8767611
grad-drnis-drnis,Nextbike,Drniš,HR,43.8425,16.1197
grad-ivanic-grad-ivanic-grad,Grad Ivanić-Grad,Ivanic Grad,HR,45.7062,16.3919
grad-karlovac-karlovac,Grad Karlovac,Karlovac,HR,45.4905,15.5503
grad-makarska-makarska,Grad Makarska,Makarska,HR,43.2992,17.0184
grad-metkovic-metkovic,Grad Metković,Metković,HR,43.0654,17.642
grad-sibenik-sibenik,Grad Šibenik,Šibenik,HR,43.733,15.8982
grad-sisak-sisak,Grad Sisak,Sisak,HR,45.4875,16.3753
grad-slavonski-brod-slavonski-brod,Grad Slavonski Brod,Slavonski Brod,HR,45.1656,18.0183
grad-split,Grad Split (Croatia),Split,HR,43.5162,16.4637
grad-split-opcina-hrvace,Grad Split (Croatia),Općina Hrvace,HR,43.7553,16.6197
grad-split-opcina-klis,Grad Split (Croatia),Općina Klis,HR,43.5605,16.5269
grad-split-opcina-otok-dalmatinski,Grad Split (Croatia),Općina Otok Dalmatinski,HR,43.6889,16.7361
grad-split-podstrana,Grad Split (Croatia),Podstrana,HR,43.4934,16.5598
grad-split-sinj,Grad Split (Croatia),Sinj,HR,43.7031,16.6364
grad-split-solin,Grad Split (Croatia),Solin,HR,43.5441,16.4833
grad-split-trogir,Grad Split (Croatia),Trogir,HR,43.5234,16.2476
grad-velika-gorica-velika-gorica,Grad Velika Gorica,Velika Gorica,HR,45.7161,16.0683
grad-vukovar,Grad Vukovar (Croatia),Vukovar,HR,45.3575,18.9895
grad-zadar-zadar,Grad Zadar,Zadar,HR,44.0058,15.2183
grad-zapresic,Grad Zaprešić (Croatia),Zaprešić,HR,45.8622,15.8049
greenbikeslc,GREENbike,Salt Lake City,US,40.76745,-111.88736
greenville,Greenville BCycle,"Greenville, SC",US,34.85261759999999,-82.3940104
greifswald,StadtRad Greifswald,Greifswald (StadtRad),DE,54.0961,13.3787
hellocycling-aichi,HELLO CYCLING Aichi,愛知県 (Aichi),JP,35.1827,136.9096
hellocycling-chiba,HELLO CYCLING Chiba,千葉県 (Chiba),JP,35.6687,140.0201
hellocycling-ehime,HELLO CYCLING Ehime,愛媛県 (Ehime),JP,33.8445,132.76913
hellocycling-fukuoka,HELLO CYCLING Fukuoka,福岡県 (Fukuoka),JP,33.8823,130.8759
hellocycling-gifu,HELLO CYCLING Gifu,岐阜県 (Gifu),JP,35.3348,137.1236
hellocycling-hiroshima,HELLO CYCLING Hiroshima,広島県 (Hiroshima),JP,34.40061,133.19824
hellocycling-hyougo,HELLO CYCLING Hyougo,兵庫県 (Hyougo),JP,34.7356,135.3697
hellocycling-ibaraki,HELLO CYCLING Ibaraki,茨城県 (Ibaraki),JP,36.0852,140.2008
hellocycling-iwate,HELLO CYCLING Iwate,岩手県 (Iwate),JP,39.6992,141.1343
hellocycling-kagawa,HELLO CYCLING Kagawa,香川県 (Kagawa),JP,34.4898,134.26
hellocycling-kanagawa,HELLO CYCLING Kanagawa,神奈川県 (Kanagawa),JP,35.3629,139.4677
hellocycling-kumamoto,HELLO CYCLING Kumamoto,熊本県 (Kumamoto),JP,32.21207,130.75388
hellocycling-kyoto,HELLO CYCLING Kyoto,京都府 (Kyoto),JP,35.01897,135.75747
hellocycling-nagano,HELLO CYCLING Nagano,長野県 (Nagano),JP,36.2395,137.9697
